Year,Month,City_Region,Province,NewHousePrice_Index_Type,UOM,VALUE,STATUS,DECIMALS,HousePrice_Year,HousePrice_Month,HousePrice_Day,Vancouver,Toronto,Montreal
1986,01,Toronto, Ontario,Total (house and land),"Index, 201612=100",33.3,,1,,,,,,
1986,02,Toronto, Ontario,Total (house and land),"Index, 201612=100",34.1,,1,,,,,,
1986,03,Toronto, Ontario,Total (house and land),"Index, 201612=100",34.6,,1,,,,,,
1986,04,Toronto, Ontario,Total (house and land),"Index, 201612=100",34.8,,1,,,,,,
1986,05,Toronto, Ontario,Total (house and land),"Index, 201612=100",35.3,,1,,,,,,
1986,06,Toronto, Ontario,Total (house and land),"Index, 201612=100",35.8,,1,,,,,,
1986,07,Toronto, Ontario,Total (house and land),"Index, 201612=100",36.2,,1,,,,,,
1986,08,Toronto, Ontario,Total (house and land),"Index, 201612=100",37.1,,1,,,,,,
1986,09,Toronto, Ontario,Total (house and land),"Index, 201612=100",38.9,,1,,,,,,
1986,10,Toronto, Ontario,Total (house and land),"Index, 201612=100",39.7,,1,,,,,,
1986,11,Toronto, Ontario,Total (house and land),"Index, 201612=100",40.6,,1,,,,,,
1986,12,Toronto, Ontario,Total (house and land),"Index, 201612=100",41.0,,1,,,,,,
1987,01,Toronto, Ontario,Total (house and land),"Index, 201612=100",41.5,,1,,,,,,
1987,02,Toronto, Ontario,Total (house and land),"Index, 201612=100",42.8,,1,,,,,,
1987,03,Toronto, Ontario,Total (house and land),"Index, 201612=100",45.5,,1,,,,,,
1987,04,Toronto, Ontario,Total (house and land),"Index, 201612=100",46.5,,1,,,,,,
1987,05,Toronto, Ontario,Total (house and land),"Index, 201612=100",47.0,,1,,,,,,
1987,06,Toronto, Ontario,Total (house and land),"Index, 201612=100",47.1,,1,,,,,,
1987,07,Toronto, Ontario,Total (house and land),"Index, 201612=100",47.3,,1,,,,,,
1987,08,Toronto, Ontario,Total (house and land),"Index, 201612=100",47.3,,1,,,,,,
1987,09,Toronto, Ontario,Total (house and land),"Index, 201612=100",47.7,,1,,,,,,
1987,10,Toronto, Ontario,Total (house and land),"Index, 201612=100",48.0,,1,,,,,,
1987,11,Toronto, Ontario,Total (house and land),"Index, 201612=100",48.1,,1,,,,,,
1987,12,Toronto, Ontario,Total (house and land),"Index, 201612=100",48.2,,1,,,,,,
1988,01,Toronto, Ontario,Total (house and land),"Index, 201612=100",48.2,,1,,,,,,
1988,02,Toronto, Ontario,Total (house and land),"Index, 201612=100",48.9,,1,,,,,,
1988,03,Toronto, Ontario,Total (house and land),"Index, 201612=100",49.7,,1,,,,,,
1988,04,Toronto, Ontario,Total (house and land),"Index, 201612=100",51.7,,1,,,,,,
1988,05,Toronto, Ontario,Total (house and land),"Index, 201612=100",53.1,,1,,,,,,
1988,06,Toronto, Ontario,Total (house and land),"Index, 201612=100",53.9,,1,,,,,,
1988,07,Toronto, Ontario,Total (house and land),"Index, 201612=100",54.2,,1,,,,,,
1988,08,Toronto, Ontario,Total (house and land),"Index, 201612=100",55.0,,1,,,,,,
1988,09,Toronto, Ontario,Total (house and land),"Index, 201612=100",57.1,,1,,,,,,
1988,10,Toronto, Ontario,Total (house and land),"Index, 201612=100",57.8,,1,,,,,,
1988,11,Toronto, Ontario,Total (house and land),"Index, 201612=100",59.2,,1,,,,,,
1988,12,Toronto, Ontario,Total (house and land),"Index, 201612=100",61.0,,1,,,,,,
1989,01,Toronto, Ontario,Total (house and land),"Index, 201612=100",61.9,,1,,,,,,
1989,02,Toronto, Ontario,Total (house and land),"Index, 201612=100",64.1,,1,,,,,,
1989,03,Toronto, Ontario,Total (house and land),"Index, 201612=100",65.9,,1,,,,,,
1989,04,Toronto, Ontario,Total (house and land),"Index, 201612=100",66.6,,1,,,,,,
1989,05,Toronto, Ontario,Total (house and land),"Index, 201612=100",66.7,,1,,,,,,
1989,06,Toronto, Ontario,Total (house and land),"Index, 201612=100",67.0,,1,,,,,,
1989,07,Toronto, Ontario,Total (house and land),"Index, 201612=100",67.0,,1,,,,,,
1989,08,Toronto, Ontario,Total (house and land),"Index, 201612=100",67.0,,1,,,,,,
1989,09,Toronto, Ontario,Total (house and land),"Index, 201612=100",67.1,,1,,,,,,
1989,10,Toronto, Ontario,Total (house and land),"Index, 201612=100",67.1,,1,,,,,,
1989,11,Toronto, Ontario,Total (house and land),"Index, 201612=100",67.3,,1,,,,,,
1989,12,Toronto, Ontario,Total (house and land),"Index, 201612=100",67.3,,1,,,,,,
1990,01,Toronto, Ontario,Total (house and land),"Index, 201612=100",67.2,,1,,,,,,
1990,02,Toronto, Ontario,Total (house and land),"Index, 201612=100",66.9,,1,,,,,,
1990,03,Toronto, Ontario,Total (house and land),"Index, 201612=100",66.8,,1,,,,,,
1990,04,Toronto, Ontario,Total (house and land),"Index, 201612=100",66.2,,1,,,,,,
1990,05,Toronto, Ontario,Total (house and land),"Index, 201612=100",66.0,,1,,,,,,
1990,06,Toronto, Ontario,Total (house and land),"Index, 201612=100",64.4,,1,,,,,,
1990,07,Toronto, Ontario,Total (house and land),"Index, 201612=100",63.7,,1,,,,,,
1990,08,Toronto, Ontario,Total (house and land),"Index, 201612=100",62.8,,1,,,,,,
1990,09,Toronto, Ontario,Total (house and land),"Index, 201612=100",61.5,,1,,,,,,
1990,10,Toronto, Ontario,Total (house and land),"Index, 201612=100",60.6,,1,,,,,,
1990,11,Toronto, Ontario,Total (house and land),"Index, 201612=100",59.3,,1,,,,,,
1990,12,Toronto, Ontario,Total (house and land),"Index, 201612=100",59.1,,1,,,,,,
1991,01,Toronto, Ontario,Total (house and land),"Index, 201612=100",56.8,,1,,,,,,
1991,02,Toronto, Ontario,Total (house and land),"Index, 201612=100",54.0,,1,,,,,,
1991,03,Toronto, Ontario,Total (house and land),"Index, 201612=100",53.9,,1,,,,,,
1991,04,Toronto, Ontario,Total (house and land),"Index, 201612=100",53.7,,1,,,,,,
1991,05,Toronto, Ontario,Total (house and land),"Index, 201612=100",54.3,,1,,,,,,
1991,06,Toronto, Ontario,Total (house and land),"Index, 201612=100",54.3,,1,,,,,,
1991,07,Toronto, Ontario,Total (house and land),"Index, 201612=100",54.3,,1,,,,,,
1991,08,Toronto, Ontario,Total (house and land),"Index, 201612=100",54.0,,1,,,,,,
1991,09,Toronto, Ontario,Total (house and land),"Index, 201612=100",54.0,,1,,,,,,
1991,10,Toronto, Ontario,Total (house and land),"Index, 201612=100",53.9,,1,,,,,,
1991,11,Toronto, Ontario,Total (house and land),"Index, 201612=100",53.1,,1,,,,,,
1991,12,Toronto, Ontario,Total (house and land),"Index, 201612=100",53.2,,1,,,,,,
1992,01,Toronto, Ontario,Total (house and land),"Index, 201612=100",53.0,,1,,,,,,
1992,02,Toronto, Ontario,Total (house and land),"Index, 201612=100",52.1,,1,,,,,,
1992,03,Toronto, Ontario,Total (house and land),"Index, 201612=100",52.1,,1,,,,,,
1992,04,Toronto, Ontario,Total (house and land),"Index, 201612=100",52.1,,1,,,,,,
1992,05,Toronto, Ontario,Total (house and land),"Index, 201612=100",51.9,,1,,,,,,
1992,06,Toronto, Ontario,Total (house and land),"Index, 201612=100",51.9,,1,,,,,,
1992,07,Toronto, Ontario,Total (house and land),"Index, 201612=100",51.7,,1,,,,,,
1992,08,Toronto, Ontario,Total (house and land),"Index, 201612=100",51.6,,1,,,,,,
1992,09,Toronto, Ontario,Total (house and land),"Index, 201612=100",51.2,,1,,,,,,
1992,10,Toronto, Ontario,Total (house and land),"Index, 201612=100",51.2,,1,,,,,,
1992,11,Toronto, Ontario,Total (house and land),"Index, 201612=100",51.1,,1,,,,,,
