Year,Month,City_Region,Province,NewHousePrice_Index_Type,UOM,VALUE,STATUS,DECIMALS
1986,11,Toronto, Ontario,Total (house and land),"Index, 201612=100",40.6,,1
1986,12,Toronto, Ontario,Total (house and land),"Index, 201612=100",41,,1
1987,1,Toronto, Ontario,Total (house and land),"Index, 201612=100",41.5,,1
1987,2,Toronto, Ontario,Total (house and land),"Index, 201612=100",42.8,,1
1987,3,Toronto, Ontario,Total (house and land),"Index, 201612=100",45.5,,1
1987,4,Toronto, Ontario,Total (house and land),"Index, 201612=100",46.5,,1
1987,5,Toronto, Ontario,Total (house and land),"Index, 201612=100",47,,1
1987,6,Toronto, Ontario,Total (house and land),"Index, 201612=100",47.1,,1
1987,7,Toronto, Ontario,Total (house and land),"Index, 201612=100",47.3,,1
1987,8,Toronto, Ontario,Total (house and land),"Index, 201612=100",47.3,,1
1987,9,Toronto, Ontario,Total (house and land),"Index, 201612=100",47.7,,1
1987,10,Toronto, Ontario,Total (house and land),"Index, 201612=100",48,,1
1987,11,Toronto, Ontario,Total (house and land),"Index, 201612=100",48.1,,1
1987,12,Toronto, Ontario,Total (house and land),"Index, 201612=100",48.2,,1
1988,1,Toronto, Ontario,Total (house and land),"Index, 201612=100",48.2,,1
1988,2,Toronto, Ontario,Total (house and land),"Index, 201612=100",48.9,,1
1988,3,Toronto, Ontario,Total (house and land),"Index, 201612=100",49.7,,1
1988,4,Toronto, Ontario,Total (house and land),"Index, 201612=100",51.7,,1
1988,5,Toronto, Ontario,Total (house and land),"Index, 201612=100",53.1,,1
1988,6,Toronto, Ontario,Total (house and land),"Index, 201612=100",53.9,,1
1988,7,Toronto, Ontario,Total (house and land),"Index, 201612=100",54.2,,1
1988,8,Toronto, Ontario,Total (house and land),"Index, 201612=100",55,,1
1988,9,Toronto, Ontario,Total (house and land),"Index, 201612=100",57.1,,1
1988,10,Toronto, Ontario,Total (house and land),"Index, 201612=100",57.8,,1
1988,11,Toronto, Ontario,Total (house and land),"Index, 201612=100",59.2,,1
1988,12,Toronto, Ontario,Total (house and land),"Index, 201612=100",61,,1
1989,1,Toronto, Ontario,Total (house and land),"Index, 201612=100",61.9,,1
1989,2,Toronto, Ontario,Total (house and land),"Index, 201612=100",64.1,,1
1989,3,Toronto, Ontario,Total (house and land),"Index, 201612=100",65.9,,1
1989,4,Toronto, Ontario,Total (house and land),"Index, 201612=100",66.6,,1
1989,5,Toronto, Ontario,Total (house and land),"Index, 201612=100",66.7,,1
1989,6,Toronto, Ontario,Total (house and land),"Index, 201612=100",67,,1
1989,7,Toronto, Ontario,Total (house and land),"Index, 201612=100",67,,1
1989,8,Toronto, Ontario,Total (house and land),"Index, 201612=100",67,,1
1989,9,Toronto, Ontario,Total (house and land),"Index, 201612=100",67.1,,1
1989,10,Toronto, Ontario,Total (house and land),"Index, 201612=100",67.1,,1
1989,11,Toronto, Ontario,Total (house and land),"Index, 201612=100",67.3,,1
1989,12,Toronto, Ontario,Total (house and land),"Index, 201612=100",67.3,,1
1990,1,Toronto, Ontario,Total (house and land),"Index, 201612=100",67.2,,1
1990,2,Toronto, Ontario,Total (house and land),"Index, 201612=100",66.9,,1
1990,3,Toronto, Ontario,Total (house and land),"Index, 201612=100",66.8,,1
1990,4,Toronto, Ontario,Total (house and land),"Index, 201612=100",66.2,,1
1990,5,Toronto, Ontario,Total (house and land),"Index, 201612=100",66,,1
1990,6,Toronto, Ontario,Total (house and land),"Index, 201612=100",64.4,,1
1990,7,Toronto, Ontario,Total (house and land),"Index, 201612=100",63.7,,1
1990,8,Toronto, Ontario,Total (house and land),"Index, 201612=100",62.8,,1
1990,9,Toronto, Ontario,Total (house and land),"Index, 201612=100",61.5,,1
1990,10,Toronto, Ontario,Total (house and land),"Index, 201612=100",60.6,,1
1990,11,Toronto, Ontario,Total (house and land),"Index, 201612=100",59.3,,1
1990,12,Toronto, Ontario,Total (house and land),"Index, 201612=100",59.1,,1
1991,1,Toronto, Ontario,Total (house and land),"Index, 201612=100",56.8,,1
1991,2,Toronto, Ontario,Total (house and land),"Index, 201612=100",54,,1
1991,3,Toronto, Ontario,Total (house and land),"Index, 201612=100",53.9,,1
1991,4,Toronto, Ontario,Total (house and land),"Index, 201612=100",53.7,,1
1991,5,Toronto, Ontario,Total (house and land),"Index, 201612=100",54.3,,1
1991,6,Toronto, Ontario,Total (house and land),"Index, 201612=100",54.3,,1
1991,7,Toronto, Ontario,Total (house and land),"Index, 201612=100",54.3,,1
1991,8,Toronto, Ontario,Total (house and land),"Index, 201612=100",54,,1
1991,9,Toronto, Ontario,Total (house and land),"Index, 201612=100",54,,1
1991,10,Toronto, Ontario,Total (house and land),"Index, 201612=100",53.9,,1
1991,11,Toronto, Ontario,Total (house and land),"Index, 201612=100",53.1,,1
1991,12,Toronto, Ontario,Total (house and land),"Index, 201612=100",53.2,,1
1992,1,Toronto, Ontario,Total (house and land),"Index, 201612=100",53,,1
1992,2,Toronto, Ontario,Total (house and land),"Index, 201612=100",52.1,,1
1992,3,Toronto, Ontario,Total (house and land),"Index, 201612=100",52.1,,1
1992,4,Toronto, Ontario,Total (house and land),"Index, 201612=100",52.1,,1
1992,5,Toronto, Ontario,Total (house and land),"Index, 201612=100",51.9,,1
1992,6,Toronto, Ontario,Total (house and land),"Index, 201612=100",51.9,,1
