Year,Month,City_Region,Province,NewHousePrice_Index_Type,UOM,VALUE,STATUS,DECIMALS
2010,7,Toronto, Ontario,Total (house and land),"Index, 201612=100",76.6,,1
2010,8,Toronto, Ontario,Total (house and land),"Index, 201612=100",76.8,,1
2010,9,Toronto, Ontario,Total (house and land),"Index, 201612=100",76.8,,1
2010,10,Toronto, Ontario,Total (house and land),"Index, 201612=100",76.9,,1
2010,11,Toronto, Ontario,Total (house and land),"Index, 201612=100",77.3,,1
2010,12,Toronto, Ontario,Total (house and land),"Index, 201612=100",77.4,,1
2011,1,Toronto, Ontario,Total (house and land),"Index, 201612=100",77.7,,1
2011,2,Toronto, Ontario,Total (house and land),"Index, 201612=100",78.1,,1
2011,3,Toronto, Ontario,Total (house and land),"Index, 201612=100",78.4,,1
2011,4,Toronto, Ontario,Total (house and land),"Index, 201612=100",78.8,,1
2011,5,Toronto, Ontario,Total (house and land),"Index, 201612=100",79.6,,1
2011,6,Toronto, Ontario,Total (house and land),"Index, 201612=100",80.2,,1
2011,7,Toronto, Ontario,Total (house and land),"Index, 201612=100",80.5,,1
2011,8,Toronto, Ontario,Total (house and land),"Index, 201612=100",80.7,,1
2011,9,Toronto, Ontario,Total (house and land),"Index, 201612=100",80.9,,1
2011,10,Toronto, Ontario,Total (house and land),"Index, 201612=100",81.3,,1
2011,11,Toronto, Ontario,Total (house and land),"Index, 201612=100",82.1,,1
2011,12,Toronto, Ontario,Total (house and land),"Index, 201612=100",82.3,,1
2012,1,Toronto, Ontario,Total (house and land),"Index, 201612=100",82.4,,1
2012,2,Toronto, Ontario,Total (house and land),"Index, 201612=100",82.7,,1
2012,3,Toronto, Ontario,Total (house and land),"Index, 201612=100",83.2,,1
2012,4,Toronto, Ontario,Total (house and land),"Index, 201612=100",83.5,,1
2012,5,Toronto, Ontario,Total (house and land),"Index, 201612=100",84,,1
2012,6,Toronto, Ontario,Total (house and land),"Index, 201612=100",84.2,,1
2012,7,Toronto, Ontario,Total (house and land),"Index, 201612=100",84.2,,1
2012,8,Toronto, Ontario,Total (house and land),"Index, 201612=100",84.5,,1
2012,9,Toronto, Ontario,Total (house and land),"Index, 201612=100",85,,1
2012,10,Toronto, Ontario,Total (house and land),"Index, 201612=100",85.2,,1
2012,11,Toronto, Ontario,Total (house and land),"Index, 201612=100",85.4,,1
2012,12,Toronto, Ontario,Total (house and land),"Index, 201612=100",85.6,,1
2013,1,Toronto, Ontario,Total (house and land),"Index, 201612=100",85.8,,1
2013,2,Toronto, Ontario,Total (house and land),"Index, 201612=100",85.8,,1
2013,3,Toronto, Ontario,Total (house and land),"Index, 201612=100",85.8,,1
2013,4,Toronto, Ontario,Total (house and land),"Index, 201612=100",85.9,,1
2013,5,Toronto, Ontario,Total (house and land),"Index, 201612=100",86.1,,1
2013,6,Toronto, Ontario,Total (house and land),"Index, 201612=100",86.1,,1
2013,7,Toronto, Ontario,Total (house and land),"Index, 201612=100",86.4,,1
2013,8,Toronto, Ontario,Total (house and land),"Index, 201612=100",86.4,,1
2013,9,Toronto, Ontario,Total (house and land),"Index, 201612=100",86.5,,1
2013,10,Toronto, Ontario,Total (house and land),"Index, 201612=100",86.5,,1
2013,11,Toronto, Ontario,Total (house and land),"Index, 201612=100",86.6,,1
2013,12,Toronto, Ontario,Total (house and land),"Index, 201612=100",86.8,,1
2014,1,Toronto, Ontario,Total (house and land),"Index, 201612=100",87,,1
2014,2,Toronto, Ontario,Total (house and land),"Index, 201612=100",87.2,,1
2014,3,Toronto, Ontario,Total (house and land),"Index, 201612=100",87.2,,1
2014,4,Toronto, Ontario,Total (house and land),"Index, 201612=100",87.8,,1
2014,5,Toronto, Ontario,Total (house and land),"Index, 201612=100",87.8,,1
2014,6,Toronto, Ontario,Total (house and land),"Index, 201612=100",88.1,,1
2014,7,Toronto, Ontario,Total (house and land),"Index, 201612=100",88,,1
2014,8,Toronto, Ontario,Total (house and land),"Index, 201612=100",88.4,,1
2014,9,Toronto, Ontario,Total (house and land),"Index, 201612=100",88.6,,1
2014,10,Toronto, Ontario,Total (house and land),"Index, 201612=100",88.7,,1
2014,11,Toronto, Ontario,Total (house and land),"Index, 201612=100",88.8,,1
2014,12,Toronto, Ontario,Total (house and land),"Index, 201612=100",88.9,,1
2015,1,Toronto, Ontario,Total (house and land),"Index, 201612=100",88.9,,1
2015,2,Toronto, Ontario,Total (house and land),"Index, 201612=100",89.2,,1
2015,3,Toronto, Ontario,Total (house and land),"Index, 201612=100",89.5,,1
2015,4,Toronto, Ontario,Total (house and land),"Index, 201612=100",89.8,,1
2015,5,Toronto, Ontario,Total (house and land),"Index, 201612=100",90.2,,1
2015,6,Toronto, Ontario,Total (house and land),"Index, 201612=100",90.8,,1
2015,7,Toronto, Ontario,Total (house and land),"Index, 201612=100",91.1,,1
2015,8,Toronto, Ontario,Total (house and land),"Index, 201612=100",91.6,,1
2015,9,Toronto, Ontario,Total (house and land),"Index, 201612=100",91.8,,1
2015,10,Toronto, Ontario,Total (house and land),"Index, 201612=100",92.2,,1
2015,11,Toronto, Ontario,Total (house and land),"Index, 201612=100",92.5,,1
2015,12,Toronto, Ontario,Total (house and land),"Index, 201612=100",92.6,,1
2016,1,Toronto, Ontario,Total (house and land),"Index, 201612=100",92.8,,1
2016,2,Toronto, Ontario,Total (house and land),"Index, 201612=100",93.2,,1
2016,3,Toronto, Ontario,Total (house and land),"Index, 201612=100",93.5,,1
2016,4,Toronto, Ontario,Total (house and land),"Index, 201612=100",94.2,,1
2016,5,Toronto, Ontario,Total (house and land),"Index, 201612=100",96,,1
2016,6,Toronto, Ontario,Total (house and land),"Index, 201612=100",96.4,,1
2016,7,Toronto, Ontario,Total (house and land),"Index, 201612=100",97.4,,1
2016,8,Toronto, Ontario,Total (house and land),"Index, 201612=100",98,,1
2016,9,Toronto, Ontario,Total (house and land),"Index, 201612=100",98.3,,1
2016,10,Toronto, Ontario,Total (house and land),"Index, 201612=100",99.6,,1
2016,11,Toronto, Ontario,Total (house and land),"Index, 201612=100",100,,1
2016,12,Toronto, Ontario,Total (house and land),"Index, 201612=100",100,,1
2017,1,Toronto, Ontario,Total (house and land),"Index, 201612=100",100.2,,1
2017,2,Toronto, Ontario,Total (house and land),"Index, 201612=100",101.2,,1
2017,3,Toronto, Ontario,Total (house and land),"Index, 201612=100",101.4,,1
2017,4,Toronto, Ontario,Total (house and land),"Index, 201612=100",103.5,,1
2017,5,Toronto, Ontario,Total (house and land),"Index, 201612=100",104.6,,1
2017,6,Toronto, Ontario,Total (house and land),"Index, 201612=100",104.6,,1
2017,7,Toronto, Ontario,Total (house and land),"Index, 201612=100",104.6,,1
2017,8,Toronto, Ontario,Total (house and land),"Index, 201612=100",104.6,,1
2017,9,Toronto, Ontario,Total (house and land),"Index, 201612=100",104.6,,1
2017,10,Toronto, Ontario,Total (house and land),"Index, 201612=100",104.7,,1
2017,11,Toronto, Ontario,Total (house and land),"Index, 201612=100",104.7,,1
2017,12,Toronto, Ontario,Total (house and land),"Index, 201612=100",104.7,,1
2018,1,Toronto, Ontario,Total (house and land),"Index, 201612=100",104.6,,1
2018,2,Toronto, Ontario,Total (house and land),"Index, 201612=100",104,,1
2018,3,Toronto, Ontario,Total (house and land),"Index, 201612=100",103.7,,1
2018,4,Toronto, Ontario,Total (house and land),"Index, 201612=100",103.2,,1
2018,5,Toronto, Ontario,Total (house and land),"Index, 201612=100",103.2,,1
2018,6,Toronto, Ontario,Total (house and land),"Index, 201612=100",103.2,,1
2018,7,Toronto, Ontario,Total (house and land),"Index, 201612=100",103.3,,1
2018,8,Toronto, Ontario,Total (house and land),"Index, 201612=100",103.3,,1
2018,9,Toronto, Ontario,Total (house and land),"Index, 201612=100",103.3,,1
2018,10,Toronto, Ontario,Total (house and land),"Index, 201612=100",103.2,,1
2018,11,Toronto, Ontario,Total (house and land),"Index, 201612=100",103.3,,1
2018,12,Toronto, Ontario,Total (house and land),"Index, 201612=100",103.2,,1
2019,1,Toronto, Ontario,Total (house and land),"Index, 201612=100",103,,1
2019,2,Toronto, Ontario,Total (house and land),"Index, 201612=100",103,,1
2019,3,Toronto, Ontario,Total (house and land),"Index, 201612=100",103,,1
2019,4,Toronto, Ontario,Total (house and land),"Index, 201612=100",102.9,,1
2019,5,Toronto, Ontario,Total (house and land),"Index, 201612=100",102.6,,1
2019,6,Toronto, Ontario,Total (house and land),"Index, 201612=100",102.6,,1
2019,7,Toronto, Ontario,Total (house and land),"Index, 201612=100",102,,1
2019,8,Toronto, Ontario,Total (house and land),"Index, 201612=100",102,,1
2019,9,Toronto, Ontario,Total (house and land),"Index, 201612=100",102.3,,1
2019,10,Toronto, Ontario,Total (house and land),"Index, 201612=100",102.4,,1
2019,11,Toronto, Ontario,Total (house and land),"Index, 201612=100",102.3,,1
2019,12,Toronto, Ontario,Total (house and land),"Index, 201612=100",102.5,,1
2020,1,Toronto, Ontario,Total (house and land),"Index, 201612=100",102.1,,1
2020,2,Toronto, Ontario,Total (house and land),"Index, 201612=100",102.5,,1
2020,3,Toronto, Ontario,Total (house and land),"Index, 201612=100",102.8,,1
2020,4,Toronto, Ontario,Total (house and land),"Index, 201612=100",102.8,,1
2020,5,Toronto, Ontario,Total (house and land),"Index, 201612=100",102.8,,1
2020,6,Toronto, Ontario,Total (house and land),"Index, 201612=100",102.8,,1
2020,7,Toronto, Ontario,Total (house and land),"Index, 201612=100",103.1,,1
2020,8,Toronto, Ontario,Total (house and land),"Index, 201612=100",103.4,,1
2020,9,Toronto, Ontario,Total (house and land),"Index, 201612=100",104.2,,1
2020,10,Toronto, Ontario,Total (house and land),"Index, 201612=100",104.8,,1
2020,11,Toronto, Ontario,Total (house and land),"Index, 201612=100",105.1,,1
2020,12,Toronto, Ontario,Total (house and land),"Index, 201612=100",105.5,,1
2021,1,Toronto, Ontario,Total (house and land),"Index, 201612=100",106.2,,1
2021,2,Toronto, Ontario,Total (house and land),"Index, 201612=100",107.7,,1
2021,3,Toronto, Ontario,Total (house and land),"Index, 201612=100",108.6,,1
2021,4,Toronto, Ontario,Total (house and land),"Index, 201612=100",109.5,,1
2021,5,Toronto, Ontario,Total (house and land),"Index, 201612=100",109.9,,1
2021,6,Toronto, Ontario,Total (house and land),"Index, 201612=100",110,,1
2021,7,Toronto, Ontario,Total (house and land),"Index, 201612=100",110.2,,1
2021,8,Toronto, Ontario,Total (house and land),"Index, 201612=100",111.1,,1
2021,9,Toronto, Ontario,Total (house and land),"Index, 201612=100",111.1,,1
2021,10,Toronto, Ontario,Total (house and land),"Index, 201612=100",112.5,,1
2021,11,Toronto, Ontario,Total (house and land),"Index, 201612=100",114.1,,1
2021,12,Toronto, Ontario,Total (house and land),"Index, 201612=100",114.1,,1
2022,1,Toronto, Ontario,Total (house and land),"Index, 201612=100",114.1,,1
2022,2,Toronto, Ontario,Total (house and land),"Index, 201612=100",114.8,,1
2022,3,Toronto, Ontario,Total (house and land),"Index, 201612=100",115.6,,1
2022,4,Toronto, Ontario,Total (house and land),"Index, 201612=100",115.6,,1
2022,5,Toronto, Ontario,Total (house and land),"Index, 201612=100",115.6,,1
2022,6,Toronto, Ontario,Total (house and land),"Index, 201612=100",115.6,,1
2022,7,Toronto, Ontario,Total (house and land),"Index, 201612=100",115.6,,1
2022,8,Toronto, Ontario,Total (house and land),"Index, 201612=100",115.6,,1
2022,9,Toronto, Ontario,Total (house and land),"Index, 201612=100",115.6,,1
2022,10,Toronto, Ontario,Total (house and land),"Index, 201612=100",115.6,,1
2022,11,Toronto, Ontario,Total (house and land),"Index, 201612=100",115.6,,1
2022,12,Toronto, Ontario,Total (house and land),"Index, 201612=100",115.6,,1
2023,1,Toronto, Ontario,Total (house and land),"Index, 201612=100",115.6,,1
2023,2,Toronto, Ontario,Total (house and land),"Index, 201612=100",115.2,,1
2023,3,Toronto, Ontario,Total (house and land),"Index, 201612=100",115.2,,1
2023,4,Toronto, Ontario,Total (house and land),"Index, 201612=100",115.2,,1
2023,5,Toronto, Ontario,Total (house and land),"Index, 201612=100",115.1,,1
1981,1,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",90.5,,1
1981,2,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",92.2,,1
1981,3,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",92.2,,1
1981,4,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",91.8,,1
1981,5,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",91.8,,1
1981,6,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",91.9,,1
1981,7,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",91.8,,1
1981,8,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",87.3,,1
1981,9,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",84.4,,1
1981,10,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",82.4,,1
1981,11,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",78.2,,1
1981,12,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",77.8,,1
1982,1,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",77.5,,1
1982,2,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",76.8,,1
1982,3,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",74.3,,1
1982,4,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",73.1,,1
1982,5,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",70.6,,1
1982,6,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",68.1,,1
1982,7,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",66,,1
1982,8,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",65.5,,1
1982,9,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",65,,1
1982,10,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",65.2,,1
1982,11,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",64.8,,1
1982,12,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",64.6,,1
1983,1,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",65.1,,1
1983,2,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",65.9,,1
1983,3,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",66.5,,1
1983,4,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",66.6,,1
1983,5,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",66.7,,1
1983,6,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",66.7,,1
1983,7,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",66.8,,1
1983,8,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",66.8,,1
1983,9,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",66.8,,1
1983,10,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",67,,1
1983,11,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",67,,1
1983,12,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",67,,1
1984,1,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",67.1,,1
1984,2,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",67.1,,1
1984,3,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",67.3,,1
1984,4,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",67.4,,1
1984,5,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",67.4,,1
1984,6,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",67.4,,1
1984,7,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",67.4,,1
1984,8,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",67.1,,1
1984,9,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",66.2,,1
1984,10,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",65.6,,1
1984,11,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",65.2,,1
1984,12,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",65.2,,1
1985,1,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",65.2,,1
1985,2,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",65.2,,1
1985,3,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",64.7,,1
1985,4,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",64.7,,1
1985,5,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",63.7,,1
1985,6,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",63.7,,1
1985,7,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",63.8,,1
1985,8,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",63.8,,1
1985,9,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",63.8,,1
1985,10,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",63.8,,1
1985,11,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",64,,1
1985,12,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",64.1,,1
1986,1,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",63.8,,1
1986,2,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",63.9,,1
1986,3,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",63.9,,1
1986,4,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",64.4,,1
1986,5,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",64.6,,1
1986,6,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",64.5,,1
1986,7,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",64.5,,1
1986,8,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",64.5,,1
1986,9,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",65.1,,1
1986,10,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",65.2,,1
1986,11,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",65.2,,1
1986,12,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",65.2,,1
1987,1,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",65.2,,1
1987,2,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",66.1,,1
1987,3,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",66.9,,1
1987,4,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",67.2,,1
1987,5,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",67.2,,1
1987,6,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",67.2,,1
1987,7,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",67.3,,1
1987,8,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",67.6,,1
1987,9,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",68.6,,1
1987,10,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",68.6,,1
1987,11,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",68.7,,1
1987,12,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",68.7,,1
1988,1,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",68.7,,1
1988,2,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",69.4,,1
1988,3,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",69.4,,1
1988,4,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",69.9,,1
1988,5,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",69.7,,1
1988,6,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",70.8,,1
1988,7,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",70.8,,1
1988,8,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",71.3,,1
1988,9,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",72,,1
1988,10,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",72.4,,1
1988,11,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",73.3,,1
1988,12,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",73.6,,1
1989,1,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",74.6,,1
1989,2,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",78.6,,1
1989,3,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",79.3,,1
1989,4,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",81.2,,1
1989,5,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",80.8,,1
1989,6,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",81.6,,1
1989,7,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",83.4,,1
1989,8,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",82.1,,1
1989,9,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",83.8,,1
1989,10,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",84.1,,1
1989,11,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",86.3,,1
1989,12,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",88.4,,1
1990,1,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",91.2,,1
1990,2,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",91.3,,1
1990,3,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",91.3,,1
1990,4,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",90.9,,1
1990,5,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",89.7,,1
1990,6,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",88.2,,1
1990,7,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",88.2,,1
1990,8,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",85.3,,1
1990,9,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",82.7,,1
1990,10,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",81.5,,1
1990,11,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",80.3,,1
1990,12,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",79.9,,1
1991,1,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",79.5,,1
1991,2,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",77.3,,1
1991,3,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",78.9,,1
1991,4,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",79.1,,1
1991,5,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",80,,1
1991,6,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",80.1,,1
1991,7,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",81.4,,1
1991,8,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",81.4,,1
1991,9,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",81.4,,1
1991,10,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",82.1,,1
1991,11,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",82.4,,1
1991,12,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",82.4,,1
1992,1,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",82.7,,1
1992,2,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",84.4,,1
1992,3,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",84.8,,1
1992,4,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",85.9,,1
1992,5,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",86.6,,1
1992,6,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",87.3,,1
1992,7,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",88.8,,1
1992,8,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",89.2,,1
1992,9,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",89.5,,1
1992,10,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",90.3,,1
1992,11,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",90.9,,1
1992,12,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",90.5,,1
1993,1,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",90.3,,1
1993,2,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",91.8,,1
1993,3,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",92.5,,1
1993,4,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",94.5,,1
1993,5,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",93.7,,1
1993,6,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",94.2,,1
1993,7,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",95.8,,1
1993,8,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",96,,1
1993,9,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",95.9,,1
1993,10,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",96,,1
1993,11,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",95.7,,1
1993,12,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",95.2,,1
1994,1,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",95,,1
1994,2,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",94.9,,1
1994,3,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",94.5,,1
1994,4,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",94.5,,1
1994,5,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",94.1,,1
1994,6,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",94,,1
1994,7,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",93.6,,1
1994,8,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",93.6,,1
1994,9,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",93.3,,1
1994,10,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",92.9,,1
1994,11,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",92.5,,1
1994,12,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",92.1,,1
1995,1,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",91.8,,1
1995,2,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",91.2,,1
1995,3,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",90.3,,1
1995,4,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",89.9,,1
1995,5,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",89.8,,1
1995,6,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",89.2,,1
1995,7,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",88.6,,1
1995,8,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",88.5,,1
1995,9,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",88.2,,1
1995,10,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",86.9,,1
1995,11,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",86.4,,1
1995,12,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",86.2,,1
1996,1,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",85.8,,1
1996,2,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",85.5,,1
1996,3,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",84.7,,1
1996,4,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",83.6,,1
1996,5,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",83.5,,1
1996,6,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",83.3,,1
1996,7,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",83.2,,1
1996,8,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",82.9,,1
1996,9,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",82.8,,1
1996,10,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",82.3,,1
1996,11,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",82.4,,1
1996,12,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",82,,1
1997,1,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",81.9,,1
1997,2,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",82,,1
