,Year,Month,City_Region,Province,NewHousePrice_Index_Type,UOM,VALUE,STATUS,DECIMALS
0,1981,01,Canada,,Total (house and land),"Index, 201612=100",38.2,,1
9,1981,01,St. John's, Newfoundland and Labrador,Total (house and land),"Index, 201612=100",36.1,,1
27,1981,01,Saint John, Fredericton,Total (house and land),"Index, 201612=100",55.9,,1
33,1981,01,Québec, Quebec,Total (house and land),"Index, 201612=100",30.1,,1
42,1981,01,Montréal, Quebec,Total (house and land),"Index, 201612=100",28.5,,1
51,1981,01,Ottawa-Gatineau, Ontario part,Total (house and land),"Index, 201612=100",32.6,,1
57,1981,01,Toronto, Ontario,Total (house and land),"Index, 201612=100",28.0,,1
60,1981,01,Hamilton, Ontario,Total (house and land),"Index, 201612=100",30.3,,1
63,1981,01,St. Catharines-Niagara, Ontario,Total (house and land),"Index, 201612=100",30.6,,1
66,1981,01,Kitchener-Cambridge-Waterloo, Ontario,Total (house and land),"Index, 201612=100",34.0,,1
72,1981,01,London, Ontario,Total (house and land),"Index, 201612=100",31.8,,1
75,1981,01,Windsor, Ontario,Total (house and land),"Index, 201612=100",61.2,,1
78,1981,01,Greater Sudbury, Ontario,Total (house and land),"Index, 201612=100",54.7,,1
87,1981,01,Winnipeg, Manitoba,Total (house and land),"Index, 201612=100",26.6,,1
93,1981,01,Regina, Saskatchewan,Total (house and land),"Index, 201612=100",19.8,,1
96,1981,01,Saskatoon, Saskatchewan,Total (house and land),"Index, 201612=100",33.0,,1
102,1981,01,Calgary, Alberta,Total (house and land),"Index, 201612=100",25.3,,1
105,1981,01,Edmonton, Alberta,Total (house and land),"Index, 201612=100",35.8,,1
114,1981,01,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",90.5,,1
117,1981,01,Victoria, British Columbia,Total (house and land),"Index, 201612=100",128.7,,1
120,1981,02,Canada,,Total (house and land),"Index, 201612=100",38.7,,1
129,1981,02,St. John's, Newfoundland and Labrador,Total (house and land),"Index, 201612=100",36.2,,1
147,1981,02,Saint John, Fredericton,Total (house and land),"Index, 201612=100",56.2,,1
153,1981,02,Québec, Quebec,Total (house and land),"Index, 201612=100",30.6,,1
162,1981,02,Montréal, Quebec,Total (house and land),"Index, 201612=100",28.8,,1
171,1981,02,Ottawa-Gatineau, Ontario part,Total (house and land),"Index, 201612=100",32.6,,1
177,1981,02,Toronto, Ontario,Total (house and land),"Index, 201612=100",28.5,,1
180,1981,02,Hamilton, Ontario,Total (house and land),"Index, 201612=100",30.4,,1
183,1981,02,St. Catharines-Niagara, Ontario,Total (house and land),"Index, 201612=100",30.8,,1
186,1981,02,Kitchener-Cambridge-Waterloo, Ontario,Total (house and land),"Index, 201612=100",34.1,,1
192,1981,02,London, Ontario,Total (house and land),"Index, 201612=100",32.3,,1
195,1981,02,Windsor, Ontario,Total (house and land),"Index, 201612=100",61.2,,1
198,1981,02,Greater Sudbury, Ontario,Total (house and land),"Index, 201612=100",55.4,,1
207,1981,02,Winnipeg, Manitoba,Total (house and land),"Index, 201612=100",26.9,,1
213,1981,02,Regina, Saskatchewan,Total (house and land),"Index, 201612=100",20.2,,1
216,1981,02,Saskatoon, Saskatchewan,Total (house and land),"Index, 201612=100",33.0,,1
222,1981,02,Calgary, Alberta,Total (house and land),"Index, 201612=100",25.5,,1
225,1981,02,Edmonton, Alberta,Total (house and land),"Index, 201612=100",36.1,,1
234,1981,02,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",92.2,,1
237,1981,02,Victoria, British Columbia,Total (house and land),"Index, 201612=100",130.1,,1
240,1981,03,Canada,,Total (house and land),"Index, 201612=100",39.3,,1
249,1981,03,St. John's, Newfoundland and Labrador,Total (house and land),"Index, 201612=100",36.2,,1
267,1981,03,Saint John, Fredericton,Total (house and land),"Index, 201612=100",56.2,,1
273,1981,03,Québec, Quebec,Total (house and land),"Index, 201612=100",30.6,,1
282,1981,03,Montréal, Quebec,Total (house and land),"Index, 201612=100",29.0,,1
291,1981,03,Ottawa-Gatineau, Ontario part,Total (house and land),"Index, 201612=100",33.6,,1
297,1981,03,Toronto, Ontario,Total (house and land),"Index, 201612=100",29.8,,1
300,1981,03,Hamilton, Ontario,Total (house and land),"Index, 201612=100",30.7,,1
303,1981,03,St. Catharines-Niagara, Ontario,Total (house and land),"Index, 201612=100",30.8,,1
306,1981,03,Kitchener-Cambridge-Waterloo, Ontario,Total (house and land),"Index, 201612=100",34.2,,1
312,1981,03,London, Ontario,Total (house and land),"Index, 201612=100",32.8,,1
315,1981,03,Windsor, Ontario,Total (house and land),"Index, 201612=100",60.7,,1
318,1981,03,Greater Sudbury, Ontario,Total (house and land),"Index, 201612=100",55.4,,1
327,1981,03,Winnipeg, Manitoba,Total (house and land),"Index, 201612=100",27.3,,1
333,1981,03,Regina, Saskatchewan,Total (house and land),"Index, 201612=100",20.6,,1
336,1981,03,Saskatoon, Saskatchewan,Total (house and land),"Index, 201612=100",33.4,,1
342,1981,03,Calgary, Alberta,Total (house and land),"Index, 201612=100",25.8,,1
345,1981,03,Edmonton, Alberta,Total (house and land),"Index, 201612=100",36.1,,1
354,1981,03,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",92.2,,1
357,1981,03,Victoria, British Columbia,Total (house and land),"Index, 201612=100",130.8,,1
360,1981,04,Canada,,Total (house and land),"Index, 201612=100",39.9,,1
369,1981,04,St. John's, Newfoundland and Labrador,Total (house and land),"Index, 201612=100",36.2,,1
387,1981,04,Saint John, Fredericton,Total (house and land),"Index, 201612=100",56.2,,1
393,1981,04,Québec, Quebec,Total (house and land),"Index, 201612=100",31.0,,1
402,1981,04,Montréal, Quebec,Total (house and land),"Index, 201612=100",29.3,,1
411,1981,04,Ottawa-Gatineau, Ontario part,Total (house and land),"Index, 201612=100",33.7,,1
417,1981,04,Toronto, Ontario,Total (house and land),"Index, 201612=100",31.2,,1
420,1981,04,Hamilton, Ontario,Total (house and land),"Index, 201612=100",31.0,,1
423,1981,04,St. Catharines-Niagara, Ontario,Total (house and land),"Index, 201612=100",30.8,,1
426,1981,04,Kitchener-Cambridge-Waterloo, Ontario,Total (house and land),"Index, 201612=100",34.6,,1
432,1981,04,London, Ontario,Total (house and land),"Index, 201612=100",33.3,,1
435,1981,04,Windsor, Ontario,Total (house and land),"Index, 201612=100",60.6,,1
438,1981,04,Greater Sudbury, Ontario,Total (house and land),"Index, 201612=100",56.9,,1
447,1981,04,Winnipeg, Manitoba,Total (house and land),"Index, 201612=100",27.4,,1
453,1981,04,Regina, Saskatchewan,Total (house and land),"Index, 201612=100",21.3,,1
456,1981,04,Saskatoon, Saskatchewan,Total (house and land),"Index, 201612=100",34.6,,1
462,1981,04,Calgary, Alberta,Total (house and land),"Index, 201612=100",26.7,,1
465,1981,04,Edmonton, Alberta,Total (house and land),"Index, 201612=100",36.1,,1
474,1981,04,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",91.8,,1
477,1981,04,Victoria, British Columbia,Total (house and land),"Index, 201612=100",130.8,,1
480,1981,05,Canada,,Total (house and land),"Index, 201612=100",40.6,,1
489,1981,05,St. John's, Newfoundland and Labrador,Total (house and land),"Index, 201612=100",36.4,,1
507,1981,05,Saint John, Fredericton,Total (house and land),"Index, 201612=100",57.2,,1
513,1981,05,Québec, Quebec,Total (house and land),"Index, 201612=100",31.4,,1
522,1981,05,Montréal, Quebec,Total (house and land),"Index, 201612=100",29.7,,1
531,1981,05,Ottawa-Gatineau, Ontario part,Total (house and land),"Index, 201612=100",34.3,,1
537,1981,05,Toronto, Ontario,Total (house and land),"Index, 201612=100",32.3,,1
540,1981,05,Hamilton, Ontario,Total (house and land),"Index, 201612=100",32.6,,1
543,1981,05,St. Catharines-Niagara, Ontario,Total (house and land),"Index, 201612=100",31.0,,1
546,1981,05,Kitchener-Cambridge-Waterloo, Ontario,Total (house and land),"Index, 201612=100",34.6,,1
552,1981,05,London, Ontario,Total (house and land),"Index, 201612=100",33.3,,1
555,1981,05,Windsor, Ontario,Total (house and land),"Index, 201612=100",60.6,,1
558,1981,05,Greater Sudbury, Ontario,Total (house and land),"Index, 201612=100",56.9,,1
567,1981,05,Winnipeg, Manitoba,Total (house and land),"Index, 201612=100",27.9,,1
573,1981,05,Regina, Saskatchewan,Total (house and land),"Index, 201612=100",21.9,,1
576,1981,05,Saskatoon, Saskatchewan,Total (house and land),"Index, 201612=100",34.8,,1
582,1981,05,Calgary, Alberta,Total (house and land),"Index, 201612=100",26.7,,1
585,1981,05,Edmonton, Alberta,Total (house and land),"Index, 201612=100",37.3,,1
594,1981,05,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",91.8,,1
597,1981,05,Victoria, British Columbia,Total (house and land),"Index, 201612=100",132.5,,1
600,1981,06,Canada,,Total (house and land),"Index, 201612=100",40.8,,1
609,1981,06,St. John's, Newfoundland and Labrador,Total (house and land),"Index, 201612=100",36.4,,1
627,1981,06,Saint John, Fredericton,Total (house and land),"Index, 201612=100",57.2,,1
633,1981,06,Québec, Quebec,Total (house and land),"Index, 201612=100",31.4,,1
642,1981,06,Montréal, Quebec,Total (house and land),"Index, 201612=100",30.0,,1
651,1981,06,Ottawa-Gatineau, Ontario part,Total (house and land),"Index, 201612=100",34.8,,1
657,1981,06,Toronto, Ontario,Total (house and land),"Index, 201612=100",32.3,,1
660,1981,06,Hamilton, Ontario,Total (house and land),"Index, 201612=100",32.7,,1
663,1981,06,St. Catharines-Niagara, Ontario,Total (house and land),"Index, 201612=100",31.2,,1
666,1981,06,Kitchener-Cambridge-Waterloo, Ontario,Total (house and land),"Index, 201612=100",34.9,,1
672,1981,06,London, Ontario,Total (house and land),"Index, 201612=100",33.6,,1
675,1981,06,Windsor, Ontario,Total (house and land),"Index, 201612=100",60.6,,1
678,1981,06,Greater Sudbury, Ontario,Total (house and land),"Index, 201612=100",57.1,,1
687,1981,06,Winnipeg, Manitoba,Total (house and land),"Index, 201612=100",28.4,,1
693,1981,06,Regina, Saskatchewan,Total (house and land),"Index, 201612=100",21.9,,1
696,1981,06,Saskatoon, Saskatchewan,Total (house and land),"Index, 201612=100",35.0,,1
702,1981,06,Calgary, Alberta,Total (house and land),"Index, 201612=100",27.1,,1
705,1981,06,Edmonton, Alberta,Total (house and land),"Index, 201612=100",37.4,,1
714,1981,06,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",91.9,,1
717,1981,06,Victoria, British Columbia,Total (house and land),"Index, 201612=100",132.8,,1
720,1981,07,Canada,,Total (house and land),"Index, 201612=100",40.8,,1
729,1981,07,St. John's, Newfoundland and Labrador,Total (house and land),"Index, 201612=100",36.4,,1
747,1981,07,Saint John, Fredericton,Total (house and land),"Index, 201612=100",57.4,,1
753,1981,07,Québec, Quebec,Total (house and land),"Index, 201612=100",31.4,,1
762,1981,07,Montréal, Quebec,Total (house and land),"Index, 201612=100",30.2,,1
771,1981,07,Ottawa-Gatineau, Ontario part,Total (house and land),"Index, 201612=100",34.9,,1
777,1981,07,Toronto, Ontario,Total (house and land),"Index, 201612=100",32.2,,1
780,1981,07,Hamilton, Ontario,Total (house and land),"Index, 201612=100",32.7,,1
783,1981,07,St. Catharines-Niagara, Ontario,Total (house and land),"Index, 201612=100",31.2,,1
786,1981,07,Kitchener-Cambridge-Waterloo, Ontario,Total (house and land),"Index, 201612=100",34.9,,1
792,1981,07,London, Ontario,Total (house and land),"Index, 201612=100",34.1,,1
795,1981,07,Windsor, Ontario,Total (house and land),"Index, 201612=100",60.6,,1
798,1981,07,Greater Sudbury, Ontario,Total (house and land),"Index, 201612=100",57.1,,1
807,1981,07,Winnipeg, Manitoba,Total (house and land),"Index, 201612=100",28.5,,1
813,1981,07,Regina, Saskatchewan,Total (house and land),"Index, 201612=100",21.9,,1
816,1981,07,Saskatoon, Saskatchewan,Total (house and land),"Index, 201612=100",35.9,,1
822,1981,07,Calgary, Alberta,Total (house and land),"Index, 201612=100",27.1,,1
825,1981,07,Edmonton, Alberta,Total (house and land),"Index, 201612=100",37.4,,1
834,1981,07,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",91.8,,1
837,1981,07,Victoria, British Columbia,Total (house and land),"Index, 201612=100",130.8,,1
840,1981,08,Canada,,Total (house and land),"Index, 201612=100",40.6,,1
849,1981,08,St. John's, Newfoundland and Labrador,Total (house and land),"Index, 201612=100",36.4,,1
867,1981,08,Saint John, Fredericton,Total (house and land),"Index, 201612=100",58.3,,1
873,1981,08,Québec, Quebec,Total (house and land),"Index, 201612=100",31.6,,1
882,1981,08,Montréal, Quebec,Total (house and land),"Index, 201612=100",30.3,,1
891,1981,08,Ottawa-Gatineau, Ontario part,Total (house and land),"Index, 201612=100",35.2,,1
897,1981,08,Toronto, Ontario,Total (house and land),"Index, 201612=100",32.5,,1
900,1981,08,Hamilton, Ontario,Total (house and land),"Index, 201612=100",32.7,,1
903,1981,08,St. Catharines-Niagara, Ontario,Total (house and land),"Index, 201612=100",31.2,,1
906,1981,08,Kitchener-Cambridge-Waterloo, Ontario,Total (house and land),"Index, 201612=100",34.9,,1
912,1981,08,London, Ontario,Total (house and land),"Index, 201612=100",34.1,,1
915,1981,08,Windsor, Ontario,Total (house and land),"Index, 201612=100",60.6,,1
918,1981,08,Greater Sudbury, Ontario,Total (house and land),"Index, 201612=100",57.2,,1
927,1981,08,Winnipeg, Manitoba,Total (house and land),"Index, 201612=100",29.0,,1
933,1981,08,Regina, Saskatchewan,Total (house and land),"Index, 201612=100",22.2,,1
936,1981,08,Saskatoon, Saskatchewan,Total (house and land),"Index, 201612=100",35.9,,1
942,1981,08,Calgary, Alberta,Total (house and land),"Index, 201612=100",27.1,,1
945,1981,08,Edmonton, Alberta,Total (house and land),"Index, 201612=100",37.7,,1
954,1981,08,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",87.3,,1
957,1981,08,Victoria, British Columbia,Total (house and land),"Index, 201612=100",130.8,,1
960,1981,09,Canada,,Total (house and land),"Index, 201612=100",40.4,,1
969,1981,09,St. John's, Newfoundland and Labrador,Total (house and land),"Index, 201612=100",36.4,,1
987,1981,09,Saint John, Fredericton,Total (house and land),"Index, 201612=100",58.3,,1
993,1981,09,Québec, Quebec,Total (house and land),"Index, 201612=100",31.8,,1
1002,1981,09,Montréal, Quebec,Total (house and land),"Index, 201612=100",30.7,,1
1011,1981,09,Ottawa-Gatineau, Ontario part,Total (house and land),"Index, 201612=100",35.2,,1
1017,1981,09,Toronto, Ontario,Total (house and land),"Index, 201612=100",32.6,,1
1020,1981,09,Hamilton, Ontario,Total (house and land),"Index, 201612=100",32.7,,1
1023,1981,09,St. Catharines-Niagara, Ontario,Total (house and land),"Index, 201612=100",31.2,,1
1026,1981,09,Kitchener-Cambridge-Waterloo, Ontario,Total (house and land),"Index, 201612=100",35.0,,1
1032,1981,09,London, Ontario,Total (house and land),"Index, 201612=100",34.2,,1
1035,1981,09,Windsor, Ontario,Total (house and land),"Index, 201612=100",58.3,,1
1038,1981,09,Greater Sudbury, Ontario,Total (house and land),"Index, 201612=100",57.2,,1
1047,1981,09,Winnipeg, Manitoba,Total (house and land),"Index, 201612=100",29.0,,1
1053,1981,09,Regina, Saskatchewan,Total (house and land),"Index, 201612=100",22.2,,1
1056,1981,09,Saskatoon, Saskatchewan,Total (house and land),"Index, 201612=100",35.9,,1
1062,1981,09,Calgary, Alberta,Total (house and land),"Index, 201612=100",27.2,,1
1065,1981,09,Edmonton, Alberta,Total (house and land),"Index, 201612=100",37.7,,1
1074,1981,09,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",84.4,,1
1077,1981,09,Victoria, British Columbia,Total (house and land),"Index, 201612=100",125.2,,1
1080,1981,10,Canada,,Total (house and land),"Index, 201612=100",40.3,,1
1089,1981,10,St. John's, Newfoundland and Labrador,Total (house and land),"Index, 201612=100",36.4,,1
1107,1981,10,Saint John, Fredericton,Total (house and land),"Index, 201612=100",57.2,,1
1113,1981,10,Québec, Quebec,Total (house and land),"Index, 201612=100",31.8,,1
1122,1981,10,Montréal, Quebec,Total (house and land),"Index, 201612=100",31.0,,1
1131,1981,10,Ottawa-Gatineau, Ontario part,Total (house and land),"Index, 201612=100",35.2,,1
1137,1981,10,Toronto, Ontario,Total (house and land),"Index, 201612=100",32.5,,1
1140,1981,10,Hamilton, Ontario,Total (house and land),"Index, 201612=100",32.7,,1
1143,1981,10,St. Catharines-Niagara, Ontario,Total (house and land),"Index, 201612=100",31.2,,1
1146,1981,10,Kitchener-Cambridge-Waterloo, Ontario,Total (house and land),"Index, 201612=100",35.2,,1
1152,1981,10,London, Ontario,Total (house and land),"Index, 201612=100",34.2,,1
1155,1981,10,Windsor, Ontario,Total (house and land),"Index, 201612=100",58.3,,1
1158,1981,10,Greater Sudbury, Ontario,Total (house and land),"Index, 201612=100",57.2,,1
1167,1981,10,Winnipeg, Manitoba,Total (house and land),"Index, 201612=100",29.0,,1
1173,1981,10,Regina, Saskatchewan,Total (house and land),"Index, 201612=100",22.2,,1
1176,1981,10,Saskatoon, Saskatchewan,Total (house and land),"Index, 201612=100",35.9,,1
1182,1981,10,Calgary, Alberta,Total (house and land),"Index, 201612=100",27.3,,1
1185,1981,10,Edmonton, Alberta,Total (house and land),"Index, 201612=100",37.7,,1
1194,1981,10,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",82.4,,1
1197,1981,10,Victoria, British Columbia,Total (house and land),"Index, 201612=100",124.9,,1
1200,1981,11,Canada,,Total (house and land),"Index, 201612=100",40.2,,1
1209,1981,11,St. John's, Newfoundland and Labrador,Total (house and land),"Index, 201612=100",37.1,,1
1227,1981,11,Saint John, Fredericton,Total (house and land),"Index, 201612=100",57.2,,1
1233,1981,11,Québec, Quebec,Total (house and land),"Index, 201612=100",32.0,,1
1242,1981,11,Montréal, Quebec,Total (house and land),"Index, 201612=100",31.2,,1
1251,1981,11,Ottawa-Gatineau, Ontario part,Total (house and land),"Index, 201612=100",36.3,,1
1257,1981,11,Toronto, Ontario,Total (house and land),"Index, 201612=100",32.5,,1
1260,1981,11,Hamilton, Ontario,Total (house and land),"Index, 201612=100",32.7,,1
1263,1981,11,St. Catharines-Niagara, Ontario,Total (house and land),"Index, 201612=100",31.2,,1
1266,1981,11,Kitchener-Cambridge-Waterloo, Ontario,Total (house and land),"Index, 201612=100",35.4,,1
1272,1981,11,London, Ontario,Total (house and land),"Index, 201612=100",34.2,,1
1275,1981,11,Windsor, Ontario,Total (house and land),"Index, 201612=100",58.3,,1
1278,1981,11,Greater Sudbury, Ontario,Total (house and land),"Index, 201612=100",58.2,,1
1287,1981,11,Winnipeg, Manitoba,Total (house and land),"Index, 201612=100",29.0,,1
1293,1981,11,Regina, Saskatchewan,Total (house and land),"Index, 201612=100",22.5,,1
1296,1981,11,Saskatoon, Saskatchewan,Total (house and land),"Index, 201612=100",35.9,,1
1302,1981,11,Calgary, Alberta,Total (house and land),"Index, 201612=100",27.4,,1
1305,1981,11,Edmonton, Alberta,Total (house and land),"Index, 201612=100",37.7,,1
1314,1981,11,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",78.2,,1
1317,1981,11,Victoria, British Columbia,Total (house and land),"Index, 201612=100",124.2,,1
1320,1981,12,Canada,,Total (house and land),"Index, 201612=100",40.3,,1
1329,1981,12,St. John's, Newfoundland and Labrador,Total (house and land),"Index, 201612=100",37.1,,1
1347,1981,12,Saint John, Fredericton,Total (house and land),"Index, 201612=100",57.2,,1
1353,1981,12,Québec, Quebec,Total (house and land),"Index, 201612=100",32.0,,1
1362,1981,12,Montréal, Quebec,Total (house and land),"Index, 201612=100",31.5,,1
1371,1981,12,Ottawa-Gatineau, Ontario part,Total (house and land),"Index, 201612=100",36.3,,1
1377,1981,12,Toronto, Ontario,Total (house and land),"Index, 201612=100",32.5,,1
1380,1981,12,Hamilton, Ontario,Total (house and land),"Index, 201612=100",32.7,,1
1383,1981,12,St. Catharines-Niagara, Ontario,Total (house and land),"Index, 201612=100",31.2,,1
1386,1981,12,Kitchener-Cambridge-Waterloo, Ontario,Total (house and land),"Index, 201612=100",35.4,,1
1392,1981,12,London, Ontario,Total (house and land),"Index, 201612=100",34.2,,1
1395,1981,12,Windsor, Ontario,Total (house and land),"Index, 201612=100",58.3,,1
1398,1981,12,Greater Sudbury, Ontario,Total (house and land),"Index, 201612=100",58.2,,1
1407,1981,12,Winnipeg, Manitoba,Total (house and land),"Index, 201612=100",29.4,,1
1413,1981,12,Regina, Saskatchewan,Total (house and land),"Index, 201612=100",22.5,,1
1416,1981,12,Saskatoon, Saskatchewan,Total (house and land),"Index, 201612=100",36.0,,1
1422,1981,12,Calgary, Alberta,Total (house and land),"Index, 201612=100",27.6,,1
1425,1981,12,Edmonton, Alberta,Total (house and land),"Index, 201612=100",37.7,,1
1434,1981,12,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",77.8,,1
1437,1981,12,Victoria, British Columbia,Total (house and land),"Index, 201612=100",126.0,,1
1440,1982,01,Canada,,Total (house and land),"Index, 201612=100",40.3,,1
1449,1982,01,St. John's, Newfoundland and Labrador,Total (house and land),"Index, 201612=100",36.6,,1
1467,1982,01,Saint John, Fredericton,Total (house and land),"Index, 201612=100",57.2,,1
1473,1982,01,Québec, Quebec,Total (house and land),"Index, 201612=100",32.4,,1
1482,1982,01,Montréal, Quebec,Total (house and land),"Index, 201612=100",32.0,,1
1491,1982,01,Ottawa-Gatineau, Ontario part,Total (house and land),"Index, 201612=100",36.9,,1
1497,1982,01,Toronto, Ontario,Total (house and land),"Index, 201612=100",32.7,,1
1500,1982,01,Hamilton, Ontario,Total (house and land),"Index, 201612=100",32.7,,1
1503,1982,01,St. Catharines-Niagara, Ontario,Total (house and land),"Index, 201612=100",31.2,,1
1506,1982,01,Kitchener-Cambridge-Waterloo, Ontario,Total (house and land),"Index, 201612=100",35.4,,1
1512,1982,01,London, Ontario,Total (house and land),"Index, 201612=100",34.2,,1
1515,1982,01,Windsor, Ontario,Total (house and land),"Index, 201612=100",58.3,,1
1518,1982,01,Greater Sudbury, Ontario,Total (house and land),"Index, 201612=100",58.2,,1
1527,1982,01,Winnipeg, Manitoba,Total (house and land),"Index, 201612=100",29.4,,1
1533,1982,01,Regina, Saskatchewan,Total (house and land),"Index, 201612=100",22.5,,1
1536,1982,01,Saskatoon, Saskatchewan,Total (house and land),"Index, 201612=100",35.3,,1
1542,1982,01,Calgary, Alberta,Total (house and land),"Index, 201612=100",27.7,,1
1545,1982,01,Edmonton, Alberta,Total (house and land),"Index, 201612=100",37.9,,1
1554,1982,01,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",77.5,,1
1557,1982,01,Victoria, British Columbia,Total (house and land),"Index, 201612=100",126.0,,1
1560,1982,02,Canada,,Total (house and land),"Index, 201612=100",40.3,,1
1569,1982,02,St. John's, Newfoundland and Labrador,Total (house and land),"Index, 201612=100",36.6,,1
1587,1982,02,Saint John, Fredericton,Total (house and land),"Index, 201612=100",56.7,,1
1593,1982,02,Québec, Quebec,Total (house and land),"Index, 201612=100",32.7,,1
1602,1982,02,Montréal, Quebec,Total (house and land),"Index, 201612=100",32.0,,1
1611,1982,02,Ottawa-Gatineau, Ontario part,Total (house and land),"Index, 201612=100",37.0,,1
1617,1982,02,Toronto, Ontario,Total (house and land),"Index, 201612=100",32.4,,1
1620,1982,02,Hamilton, Ontario,Total (house and land),"Index, 201612=100",33.1,,1
1623,1982,02,St. Catharines-Niagara, Ontario,Total (house and land),"Index, 201612=100",31.2,,1
1626,1982,02,Kitchener-Cambridge-Waterloo, Ontario,Total (house and land),"Index, 201612=100",35.4,,1
1632,1982,02,London, Ontario,Total (house and land),"Index, 201612=100",34.2,,1
1635,1982,02,Windsor, Ontario,Total (house and land),"Index, 201612=100",58.3,,1
1638,1982,02,Greater Sudbury, Ontario,Total (house and land),"Index, 201612=100",58.5,,1
1647,1982,02,Winnipeg, Manitoba,Total (house and land),"Index, 201612=100",29.4,,1
1653,1982,02,Regina, Saskatchewan,Total (house and land),"Index, 201612=100",22.6,,1
1656,1982,02,Saskatoon, Saskatchewan,Total (house and land),"Index, 201612=100",35.2,,1
1662,1982,02,Calgary, Alberta,Total (house and land),"Index, 201612=100",27.9,,1
1665,1982,02,Edmonton, Alberta,Total (house and land),"Index, 201612=100",38.2,,1
1674,1982,02,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",76.8,,1
1677,1982,02,Victoria, British Columbia,Total (house and land),"Index, 201612=100",121.8,,1
1680,1982,03,Canada,,Total (house and land),"Index, 201612=100",40.1,,1
1689,1982,03,St. John's, Newfoundland and Labrador,Total (house and land),"Index, 201612=100",36.6,,1
1707,1982,03,Saint John, Fredericton,Total (house and land),"Index, 201612=100",56.5,,1
1713,1982,03,Québec, Quebec,Total (house and land),"Index, 201612=100",32.7,,1
1722,1982,03,Montréal, Quebec,Total (house and land),"Index, 201612=100",32.1,,1
1731,1982,03,Ottawa-Gatineau, Ontario part,Total (house and land),"Index, 201612=100",37.2,,1
1737,1982,03,Toronto, Ontario,Total (house and land),"Index, 201612=100",32.4,,1
1740,1982,03,Hamilton, Ontario,Total (house and land),"Index, 201612=100",33.1,,1
1743,1982,03,St. Catharines-Niagara, Ontario,Total (house and land),"Index, 201612=100",31.2,,1
1746,1982,03,Kitchener-Cambridge-Waterloo, Ontario,Total (house and land),"Index, 201612=100",35.4,,1
1752,1982,03,London, Ontario,Total (house and land),"Index, 201612=100",34.2,,1
1755,1982,03,Windsor, Ontario,Total (house and land),"Index, 201612=100",58.3,,1
1758,1982,03,Greater Sudbury, Ontario,Total (house and land),"Index, 201612=100",58.7,,1
1767,1982,03,Winnipeg, Manitoba,Total (house and land),"Index, 201612=100",29.9,,1
1773,1982,03,Regina, Saskatchewan,Total (house and land),"Index, 201612=100",22.6,,1
1776,1982,03,Saskatoon, Saskatchewan,Total (house and land),"Index, 201612=100",35.1,,1
1782,1982,03,Calgary, Alberta,Total (house and land),"Index, 201612=100",28.0,,1
1785,1982,03,Edmonton, Alberta,Total (house and land),"Index, 201612=100",37.9,,1
1794,1982,03,Vancouver, British Columbia,Total (house and land),"Index, 201612=100",74.3,,1
1797,1982,03,Victoria, British Columbia,Total (house and land),"Index, 201612=100",119.0,,1
1800,1982,04,Canada,,Total (house and land),"Index, 201612=100",39.9,,1
1809,1982,04,St. John's, Newfoundland and Labrador,Total (house and land),"Index, 201612=100",36.1,,1
1827,1982,04,Saint John, Fredericton,Total (house and land),"Index, 201612=100",56.5,,1
1833,1982,04,Québec, Quebec,Total (house and land),"Index, 201612=100",32.9,,1
1842,1982,04,Montréal, Quebec,Total (house and land),"Index, 201612=100",32.1,,1
1851,1982,04,Ottawa-Gatineau, Ontario part,Total (house and land),"Index, 201612=100",37.3,,1
1857,1982,04,Toronto, Ontario,Total (house and land),"Index, 201612=100",32.4,,1
1860,1982,04,Hamilton, Ontario,Total (house and land),"Index, 201612=100",33.1,,1
1863,1982,04,St. Catharines-Niagara, Ontario,Total (house and land),"Index, 201612=100",31.2,,1
1866,1982,04,Kitchener-Cambridge-Waterloo, Ontario,Total (house and land),"Index, 201612=100",35.4,,1
1872,1982,04,London, Ontario,Total (house and land),"Index, 201612=100",34.2,,1
1875,1982,04,Windsor, Ontario,Total (house and land),"Index, 201612=100",58.3,,1
1878,1982,04,Greater Sudbury, Ontario,Total (house and land),"Index, 201612=100",58.2,,1
1887,1982,04,Winnipeg, Manitoba,Total (house and land),"Index, 201612=100",30.2,,1
1893,1982,04,Regina, Saskatchewan,Total (house and land),"Index, 201612=100",22.6,,1
1896,1982,04,Saskatoon, Saskatchewan,Total (house and land),"Index, 201612=100",35.2,,1
1902,1982,04,Calgary, Alberta,Total (house and land),"Index, 201612=100",28.0,,1
1905,1982,04,Edmonton, Alberta,Total (house and land),"Index, 201612=100",37.6,,1
